Name,CreatedBy,CreatedOn,TypeName,Space,Description,ExtSystem,ExtObject,ExtIdentifier,SerialNumber,InstallationDate,WarrantyStartDate,TagNumber,BarCode,AssetIdentifier,Area,Length,,
Supply Diffuser 600 Face- 850556,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C19,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa7c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850557,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa7d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850558,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C14,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa7e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850559,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C18,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa7f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850560,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C18,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa80,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850561,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C17,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa81,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850562,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C18,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850563,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C18,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa83,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850564,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C15,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850565,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1CC3,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
