Name,CreatedBy,CreatedOn,Category,FloorName,Description,ExtSystem,ExtObject,ExtIdentifier,RoomTag,UsableHeight,GrossArea,NetArea,,,,,,
1AC1,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-51 31 11: Waiting Room,First Floor,CENTRAL WAITING,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00061e93,n/a,4.57,139.7547,139.7547,,,,,,
1AC2,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062032,n/a,4.47,19.605,19.605,,,,,,
1AC3,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062035,n/a,2.4,16.2935,16.2935,,,,,,
1AC4,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062038,n/a,2.4,9.5515,9.5515,,,,,,
1AC5,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006203b,n/a,2.4,20.3751,20.3751,,,,,,
1A01,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-11 11 31: Reception Space,First Floor,PATIENT ADMIN. RECEPT.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006222b,n/a,2.7,19.7671,19.7671,,,,,,
1A02,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,RMO ANALYST,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062232,n/a,2.4,27.6932,27.6932,,,,,,
1A03,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,"TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE","Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062235,n/a,2.4,8.8737,8.8737,,,,,,
1A04,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,"TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE","Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062238,n/a,2.4,9.5445,9.5445,,,,,,
1A05,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,"TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE","Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006223b,n/a,2.4,8.9991,8.9991,,,,,,
1A06,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,"TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE
TRICARE OFFICE","Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006223e,n/a,2.4,10.4921,10.4921,,,,,,
1A07,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,TRICARE OFFICE,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062241,n/a,2.4,8.7301,8.7301,,,,,,
1A08,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,PHARM. OFFICE,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062244,n/a,2.4,10.4499,10.4499,,,,,,
1A09,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,W. TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062247,n/a,2.4,10.8536,10.8536,,,,,,
1A10,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-51 11 21: Break Room,First Floor,LOUNGE,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006224a,n/a,2.4,10.2725,10.2725,,,,,,
1A11,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 11 11: Storage Room,First Floor,JAN.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006224d,n/a,2.4,2.0366,2.0366,,,,,,
1A12,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,M. TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062250,n/a,2.4,9.9105,9.9105,,,,,,
1A13,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,STAFF TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062253,n/a,2.4,4.4685,4.4685,,,,,,
1A14,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,SUPER / NCOIC,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062256,n/a,2.4,7.2299,7.2299,,,,,,
1A15,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,COUNSELING,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062259,n/a,2.4,6.3984,6.3984,,,,,,
1DC1,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-51 31 11: Waiting Room,First Floor,WAITING / ACTIVITY AREA,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006225f,n/a,4.57,182.2802,182.2802,,,,,,
