Name,CreatedBy,CreatedOn,Category,SpaceNames,ExtSystem,ExtObject,ExtIdentifier,Description,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A01,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A02,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A03,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A04,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A05,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A06,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Administration,danielle.r.love@usace.army.mil,2014-01-03T06:01:56,Occupancy Zone,1A07,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,f5787d01-ee41-4564-9d5d-53bd0035dd68,Administration Department,,,,,,,,,,
Biomedical,danielle.r.love@usace.army.mil,2014-01-03T06:02:27,Occupancy Zone,1E16,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,fd286dca-f787-4bab-9720-353d02c8ce81,Biomedical Department,,,,,,,,,,
Biomedical,danielle.r.love@usace.army.mil,2014-01-03T06:02:27,Occupancy Zone,1E18,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,fd286dca-f787-4bab-9720-353d02c8ce81,Biomedical Department,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1AC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1AC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1AC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1AC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1AC5,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1AS1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1BC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1BC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1BC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1BC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1BS2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1CC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1CC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1CC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1CS3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
