Name,CreatedBy,CreatedOn,Category,SheetName,RowName,CoordinateXAxis,CoordinateYAxis,CoordinateZAxis,ExtSystem,ExtObject,ExtIdentifier,ClockwiseRotation,ElevationalRotation,YawRotation,,,,
TOF Footing_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-lowerleft,Floor,TOF Footing,0,0,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
TOF Footing_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-upperright,Floor,TOF Footing,0,0,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
First Floor_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-lowerleft,Floor,First Floor,-180.80952,-38.22729,-4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
First Floor_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-upperright,Floor,First Floor,-180.80952,-38.22729,-1.7133,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
Second Floor_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-lowerleft,Floor,Second Floor,-170.86204,-0.80873,-2.22371,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
Second Floor_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-upperright,Floor,Second Floor,-170.33079,0.39331,-1.69246,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
Roof - Main_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-lowerleft,Floor,Roof - Main,-154.57021,32.5689,15.84748,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
Roof - Main_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-upperright,Floor,Roof - Main,-154.57021,32.5689,16.12873,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
Site_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-lowerleft,Floor,Site,-180.80952,-38.22729,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
Site_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:57:58,Box-upperright,Floor,Site,6.19836,191.43151,26.24672,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
